Type of Prediction,,,,,,,,,,,,,Data Integration,,Application of Prediction,,,,,Experimental Validation,
Flux Phenotype,Essentiality (Global),KO (Targeted),Other Phenotype,Thermodynamics,Objective Function,Systemscale Property,Metabolite Phenotype,TRN/PPI/ Genetic Int,Synthetic Biology,Biological Discovery,ExpDes,Pathway Analaysis,Data Input?,Type of Data?,Met Eng,Inf Dis,Env,Biomed,Basic Science,Exp Conf?,New Exp?
x,,,x,,x,,,x,,x,,,,,,,,,x,x,
,x,,,,,,,x,,,,,,,,,,,x,x,
x,,x,,,,,,,,,,,,,,,,,x,x,
,,,,,,x,,,,,,,,,,,,,x,x,
x,x,,,,,,,,,x,,,,,x,,,,x,x,x
,,,,,,,,,,,x,,,,,,x,,,x,x
x,,,,,,,,,x,,,,,,x,,,,,,
x,x,,,,,,,,,,,,,,,x,,,,,
x,,,,,,,,,x,,x,,,,x,,,,,x,x
,x,,,,,,,,,,,,,,,x,,x,,x,
,x,,,,,,,,,,,x,,,x,,,,,x,x
x,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,,,,,,,x,,,,,,x,,,
x,,,,,,x,,,,,,,,,,,,,x,x,
,x,,,,,,,,,,,,,,,,x,,,,
x,,x,,,,,,,,,,,,,x,x,,,,x,
x,,,,,,x,x,,,,,,x,"Transcriptomics, proteomics",,,,x,x,x,x
x,x,,,,,,,,,,,,,,x,,,,,x,
,,,,x,,,x,,,,,,,,,,,,x,,
x,,,,,x,,,,,,,,,,x,,,,x,x,x
x,,x,,,,,,,,x,,,x,Transcriptomics,,x,,,,x,x
,x,,,,,,,,,,,,,,,x,,,,x,
x,,,,,,,,,,,,,,,,,,,x,x,
x,x,,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,,,x,x,x,Transcriptomic,x,,,,,,
x,x,x,,,,,,,,,x,,,,x,,,,,,
x,,,,,,,,,,,,x,,,,,,,x,,
x,,,,,,,,,,,,,,,x,,,,,,
x,,,,,,,,,,,x,,,,x,,,,,x,x
,,x,,,,,,,,,x,x,,,x,,,,,x,x
x,,x,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,x,,,,,,,,,,,,,x,,
x,x,,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,,,,,x,transcriptomics,,,,x,x,x,
x,,,,,,,,,,,,,x,transcriptomics,,,,x,x,,
x,,,,,,,,,,,,,,,,,,,x,x,x
x,,,,,,,,,,,,x,x,transcriptomics,,,,,x,,
x,,,,,,,,,,,,,x,transcriptomics,,,,,x,x,
x,x,,,,,x,,,,,x,,,,x,,,,,,
x,,,,,,x,x,,,,,,x,"transcriptomics, proteomics",,,,x,,x,x
x,,,,,,,,,,,,,,,,,,x,,x,
,,,,,,,,,,x,,,,,,,,,x,x,x
x,x,,x,,,x,,,,,,,,,,,,,x,x,
x,x,,,,,,,,,,,,x,Transcriptomics,,,,,x,x,
x,,x,,,,,,,,,x,x,,,x,,,,,x,
,,,,,,x,,,,,,x,,,,,,,x,,
,x,,,,,x,,,,,,,,,,x,,,x,x,
,x,,,,,,,,,,,,,,,x,,,,x,
x,x,,,,,,,,,,,,,,,,x,,,x,
x,,,x,,,,,,,,,,x,Transcriptomics,,x,,,x,x,
x,,,,,x,,,,,,,,x,Exometabolomics,x,,,,x,x,x
x,x,,,,,,,,,,,,x,Transcriptomics,,,,,x,x,x
,,,,x,,,x,,,,,x,x,Metablomics,,,,,x,,
x,,,,,,,,,,,,,,,,,,x,x,x,
x,,,,,,,,,,x,,,x,Metabolomics,,,,,x,x,x
x,,,,,,,,,,,,,,,,,x,,,x,
x,,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,x,,,,,,,x,x,x
,x,,,,,,,,,x,,,,,,,,,x,,
,x,,,,,,,x,,,,,,,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,x,x
,x,,,,,x,,,,,,,,,,,,,x,,
,,,x,,,,,,,,,,x,Transcriptomic,,,,x,x,,
x,,,,,,,,,,,x,,,,x,x,,,,x,x
x,,,x,,,,,,,,,,,,,,x,,,x,x
,,,,,,,,,x,,x,,,,x,,,,,,
x,,,,,,,,,,,x,,,,,,x,,,x,
x,,,,,,,,,,,,x,,,,,,,x,,
,,,,,,,,,x,,,,,,x,,,,,,
,,,x,,,,,,x,,x,,,,x,,,,,x,x
x,,,,,,,,,,,,,x,Transcriptomic,,,,,x,x,
x,x,,,,,,,,,,,,,,x,,,,,x,x
x,,x,,,,,,,,,,,,,x,,,,,x,
x,,,,,,,,,,,,,,,x,,,,,x,
x,,x,,,,,,,x,,x,,,,x,,,,,,
,x,,,,,,x,,,,x,,,,x,,,,,,
x,,,,,,,,,,,,,x,Fluxomics,,,,,x,,
x,,,,,,,,,,,,,,,,x,,,,,
x,,x,,,,,,,,,x,,,,x,,,,,x,x
x,,,,,,,,,,,,,x,Transcriptomic,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,,
x,,,,,,x,,,,,,,x,T/P/Metabolomic,,,,,x,,
x,,,,,,,,,,,,,,,,,,,x,x,
x,,,,,,,,,,,,,x,Fluxomic,x,,,,,x,x
x,x,,,,,,,,,,,,,,x,,,,,x,
x,x,,,,,,,,,,,,,,,,x,,,,
x,x,,,,,,,x,,,,,,,,,,,x,x,
x,,x,,,,,,,,,,,,,x,,,,,x,x
x,,x,,,,,,,,,x,,,,,x,,,x,x,x
x,x,x,,,,,,,,,,,,,x,,,,,x,x
,,,,,x,,,,,,x,,,,x,,,,,x,
x,,,,,,,,,,,,,,,,,,,x,x,x
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
